i	Ebeam	x	y	z	Q2	pT	obs	Nacc	stat_sivers	stat_collins	stat_pretzelosity	systrel	systabs	target	hadron	Experiment	AUTSivers	error_stat_sivers	error_tot_sivers	AUTCollins	error_stat_collins	error_tot_collins	AUTPretzelosity	error_stat_pretzelosity	error_tot_pretzelosity
0	11.0	0.133998	0.55185	0.323755	1.500144	0.124343	AUT	19562129.647118	0.002942	0.002586	0.00259	0.070207	0.001192	neutron	pi+	solid	-0.012020078455502764	0.002942	0.0032845676259359523	-0.05032150302525589	0.002586	0.004537598063153131	6.534707176637664e-05	0.00259	0.002851137500737116
1	11.0	0.21727	0.401135	0.324599	1.773087	0.076804	AUT	7958608.886588	0.004043	0.004004	0.004009	0.070207	0.001343	neutron	pi+	solid	-0.006326116268993537	0.004043	0.004283311364775488	-0.047215195997599775	0.004004	0.005368781155542445	4.776831708003637e-05	0.004009	0.004227971292133387
2	11.0	0.092643	0.683318	0.323372	1.294186	0.30351	AUT	19073792.876076	0.003622	0.002924	0.00292	0.070207	0.001125	neutron	pi+	solid	-0.029172616753072308	0.003622	0.004310372644588079	-0.06603792158174332	0.002924	0.005595614762978947	0.00029890506311445146	0.00292	0.003129291514030675
3	11.0	0.154878	0.54879	0.322572	1.681252	0.310245	AUT	10466177.607927	0.003847	0.003588	0.003626	0.070207	0.001227	neutron	pi+	solid	-0.02849007080125893	0.003847	0.0045061899254183685	-0.12588460174216023	0.003588	0.00961712886601932	0.0011908517359246623	0.003626	0.003828889523688263
4	11.0	0.085966	0.715643	0.323588	1.25449	0.491645	AUT	18901363.164168	0.002186	0.002237	0.002244	0.070207	0.001115	neutron	pi+	solid	-0.045667838971462	0.002186	0.00403751805899671	-0.0775640826489682	0.002237	0.005991770754844951	0.0007790920958307606	0.002244	0.0025063425225692634
5	11.0	0.158307	0.527143	0.324561	1.650076	0.480726	AUT	16320045.981655	0.002662	0.002865	0.002851	0.070207	0.001234	neutron	pi+	solid	-0.043147770950100875	0.002662	0.004217287088720477	-0.1743783307553878	0.002865	0.01263375371828266	0.003880089359314781	0.002851	0.003118519504434948
6	11.0	0.103943	0.691153	0.326782	1.411257	0.668541	AUT	8328347.069864	0.003281	0.003955	0.004009	0.070207	0.001143	neutron	pi+	solid	-0.06075583757815155	0.003281	0.005501433726147721	-0.10369448048009172	0.003955	0.008363493013093465	0.002275779833692158	0.004009	0.004171817141996122
7	11.0	0.152717	0.511413	0.373838	1.567191	0.114451	AUT	18878541.665543	0.002656	0.002498	0.002513	0.070207	0.001233	neutron	pi+	solid	-0.012693913271023191	0.002656	0.0030608602118720545	-0.047535506591484256	0.002498	0.004347186818303567	8.420904497625249e-05	0.002513	0.0027991950543871918
8	11.0	0.252075	0.351021	0.374496	1.8179	0.097056	AUT	2433161.991103	0.008447	0.008029	0.008036	0.070207	0.00142	neutron	pi+	solid	-0.008516283452879412	0.008447	0.008586366906524956	-0.05664561953868629	0.008029	0.009071776332101437	0.00015408392117084596	0.008036	0.00816050323351107
9	11.0	0.106439	0.651476	0.373817	1.410664	0.295822	AUT	18768392.142235	0.005868	0.004042	0.00407	0.070207	0.001153	neutron	pi+	solid	-0.0333519312466437	0.005868	0.006422276703938407	-0.06999796947376687	0.004042	0.006466682595349391	0.0004805530249228434	0.00407	0.004230301084463074
