Q2l	 Q2u	 zl	 zu	 Ptl	 Ptu	 xl	 xu
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.0000	 0.1795
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1795	 0.7000
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0000	 0.1192
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1192	 0.7000
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0000	 0.1120
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1120	 0.7000
1.0	 2.0	 0.30	 0.35	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.0000	 0.2249
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.2249	 0.7000
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.0000	 0.1558
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1558	 0.7000
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.0000	 0.1552
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.1552	 0.7000
1.0	 2.0	 0.35	 0.40	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.40	 0.45	 0.0	 0.4	 0.0000	 0.1453
1.0	 2.0	 0.40	 0.45	 0.0	 0.4	 0.1453	 0.7000
1.0	 2.0	 0.40	 0.45	 0.4	 0.8	 0.0000	 0.1337
1.0	 2.0	 0.40	 0.45	 0.4	 0.8	 0.1337	 0.7000
1.0	 2.0	 0.45	 0.50	 0.0	 0.4	 0.0000	 0.1754
1.0	 2.0	 0.45	 0.50	 0.0	 0.4	 0.1754	 0.7000
1.0	 2.0	 0.45	 0.50	 0.4	 0.8	 0.0000	 0.1904
1.0	 2.0	 0.45	 0.50	 0.4	 0.8	 0.1904	 0.7000
1.0	 2.0	 0.50	 0.55	 0.0	 0.4	 0.0000	 0.2738
1.0	 2.0	 0.50	 0.55	 0.0	 0.4	 0.2738	 0.7000
1.0	 2.0	 0.50	 0.55	 0.4	 1.6	 0.0000	 0.2374
1.0	 2.0	 0.50	 0.55	 0.4	 1.6	 0.2374	 0.7000
1.0	 2.0	 0.55	 0.60	 0.0	 0.6	 0.0000	 0.2046
1.0	 2.0	 0.55	 0.60	 0.0	 0.6	 0.2046	 0.7000
1.0	 2.0	 0.55	 0.60	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.60	 0.65	 0.0	 0.8	 0.0000	 0.2374
1.0	 2.0	 0.60	 0.65	 0.0	 0.8	 0.2374	 0.7000
1.0	 2.0	 0.65	 0.70	 0.0	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.30	 0.35	 0.0	 0.2	 0.0000	 0.2451
2.0	 3.0	 0.30	 0.35	 0.0	 0.2	 0.2451	 0.7000
2.0	 3.0	 0.30	 0.35	 0.2	 0.6	 0.0000	 0.2391
2.0	 3.0	 0.30	 0.35	 0.2	 0.6	 0.2391	 0.7000
2.0	 3.0	 0.35	 0.40	 0.0	 0.2	 0.0000	 0.2683
2.0	 3.0	 0.35	 0.40	 0.0	 0.2	 0.2683	 0.7000
2.0	 3.0	 0.35	 0.40	 0.2	 0.6	 0.0000	 0.3367
2.0	 3.0	 0.35	 0.40	 0.2	 0.6	 0.3367	 0.7000
2.0	 3.0	 0.35	 0.40	 0.6	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.40	 0.45	 0.0	 0.2	 0.0000	 0.3120
2.0	 3.0	 0.40	 0.45	 0.0	 0.2	 0.3120	 0.7000
2.0	 3.0	 0.40	 0.45	 0.2	 1.0	 0.0000	 0.3118
2.0	 3.0	 0.40	 0.45	 0.2	 1.0	 0.3118	 0.7000
2.0	 3.0	 0.45	 0.50	 0.0	 0.4	 0.0000	 0.2717
2.0	 3.0	 0.45	 0.50	 0.0	 0.4	 0.2717	 0.7000
2.0	 3.0	 0.45	 0.50	 0.4	 1.6	 0.0000	 0.7000
