i,Ebeam,x,y,z,Q2,pT,obs,Nacc,stat_sivers,stat_collins,stat_pretzelosity,systrel,systabs,target,hadron,Experiment
0,11.0,0.092752,0.624297,0.322598,1.192042,0.155700,AUT,2388291.436233,0.013695,0.009696,0.009568,0.070207,0.000988,neutron,pi-,solid
1,11.0,0.113031,0.591129,0.323233,1.378630,0.140385,AUT,2147663.544307,0.010392,0.008071,0.008061,0.070207,0.000990,neutron,pi-,solid
2,11.0,0.126788,0.569674,0.323362,1.490404,0.131155,AUT,2184914.704426,0.008393,0.007011,0.007010,0.070207,0.000994,neutron,pi-,solid
3,11.0,0.138907,0.546175,0.323655,1.565591,0.121263,AUT,2135427.889656,0.007315,0.006487,0.006521,0.070207,0.000998,neutron,pi-,solid
4,11.0,0.150563,0.521853,0.323926,1.621376,0.111119,AUT,2014305.321109,0.006843,0.006355,0.006349,0.070207,0.001003,neutron,pi-,solid
5,11.0,0.162729,0.497150,0.324174,1.669417,0.100534,AUT,1962568.676933,0.006473,0.006230,0.006252,0.070207,0.001010,neutron,pi-,solid
6,11.0,0.176671,0.469486,0.324357,1.711348,0.088264,AUT,1911097.196039,0.006325,0.006213,0.006235,0.070207,0.001018,neutron,pi-,solid
7,11.0,0.194063,0.435725,0.324504,1.744142,0.074505,AUT,1799336.367496,0.006416,0.006388,0.006391,0.070207,0.001029,neutron,pi-,solid
8,11.0,0.219625,0.393193,0.324506,1.779707,0.068389,AUT,1744287.246093,0.006592,0.006603,0.006608,0.070207,0.001045,neutron,pi-,solid
9,11.0,0.261585,0.340188,0.324503,1.831447,0.088051,AUT,1253227.765392,0.009481,0.008754,0.008697,0.070207,0.001071,neutron,pi-,solid
10,11.0,0.066604,0.785938,0.322203,1.078357,0.325731,AUT,1413789.665842,0.015725,0.011877,0.011751,0.070207,0.000989,neutron,pi-,solid
11,11.0,0.074783,0.731032,0.322508,1.128160,0.312400,AUT,1319596.499428,0.013414,0.010629,0.010648,0.070207,0.000989,neutron,pi-,solid
12,11.0,0.079951,0.704448,0.322867,1.162406,0.309259,AUT,1258605.331796,0.012847,0.010375,0.010396,0.070207,0.000989,neutron,pi-,solid
13,11.0,0.084261,0.687084,0.323087,1.194988,0.306121,AUT,1232283.832395,0.012524,0.010223,0.010197,0.070207,0.000989,neutron,pi-,solid
14,11.0,0.088346,0.678775,0.323095,1.237777,0.303622,AUT,1240624.427159,0.012369,0.010081,0.010081,0.070207,0.000989,neutron,pi-,solid
15,11.0,0.092401,0.671631,0.323208,1.280986,0.301448,AUT,1205243.930107,0.012341,0.010075,0.010076,0.070207,0.000989,neutron,pi-,solid
16,11.0,0.096441,0.664718,0.323387,1.323223,0.299310,AUT,1213804.801022,0.012185,0.009926,0.009973,0.070207,0.000989,neutron,pi-,solid
17,11.0,0.100493,0.659240,0.323419,1.367460,0.297958,AUT,1142674.682678,0.012413,0.010149,0.010141,0.070207,0.000990,neutron,pi-,solid
18,11.0,0.104579,0.652987,0.323470,1.409579,0.295933,AUT,1157633.018268,0.012167,0.009935,0.010035,0.070207,0.000990,neutron,pi-,solid
19,11.0,0.108732,0.647803,0.323545,1.453895,0.294717,AUT,1070328.342927,0.012612,0.010340,0.010328,0.070207,0.000991,neutron,pi-,solid
20,11.0,0.112971,0.641772,0.323666,1.496543,0.293633,AUT,1081518.939539,0.012326,0.010111,0.010188,0.070207,0.000992,neutron,pi-,solid
21,11.0,0.117275,0.636902,0.323553,1.541755,0.292738,AUT,972220.113873,0.012833,0.010621,0.010606,0.070207,0.000993,neutron,pi-,solid
22,11.0,0.121763,0.632457,0.323615,1.589590,0.291696,AUT,1031683.173303,0.012363,0.010242,0.010260,0.070207,0.000994,neutron,pi-,solid
23,11.0,0.126604,0.626558,0.323758,1.637357,0.291466,AUT,960292.368526,0.012530,0.010471,0.010528,0.070207,0.000996,neutron,pi-,solid
24,11.0,0.131724,0.613751,0.323691,1.668678,0.291631,AUT,919020.405730,0.012210,0.010364,0.010507,0.070207,0.000998,neutron,pi-,solid
25,11.0,0.137374,0.597511,0.323703,1.694173,0.290356,AUT,823579.872156,0.012363,0.010753,0.010798,0.070207,0.001000,neutron,pi-,solid
26,11.0,0.143943,0.576840,0.323603,1.713655,0.290900,AUT,765563.127278,0.011977,0.010805,0.010878,0.070207,0.001003,neutron,pi-,solid
27,11.0,0.152163,0.548273,0.323039,1.721536,0.295593,AUT,670796.417712,0.011688,0.011277,0.011335,0.070207,0.001006,neutron,pi-,solid
28,11.0,0.162754,0.508575,0.322032,1.707631,0.314009,AUT,532452.944696,0.011939,0.013192,0.013231,0.070207,0.001011,neutron,pi-,solid
29,11.0,0.177535,0.457058,0.319870,1.673378,0.350598,AUT,451978.612594,0.012810,0.019881,0.019917,0.070207,0.001019,neutron,pi-,solid
30,11.0,0.200881,0.409275,0.318734,1.694827,0.367914,AUT,509031.114663,0.012131,0.025173,0.025191,0.070207,0.001034,neutron,pi-,solid
